Incident Date,Total Cases
2018-12-21,344
2018-12-22,341
2018-12-23,376
2018-12-24,316
2018-12-25,219
2018-12-26,319
2018-12-27,346
2018-12-28,374
2018-12-29,341
2018-12-30,306
2018-12-31,333
2019-01-01,403
2019-01-02,321
2019-01-03,322
2019-01-04,339
2019-01-05,315
2019-01-06,245
2019-01-07,302
2019-01-08,321
2019-01-09,328
2019-01-10,322
2019-01-11,333
2019-01-12,298
2019-01-13,299
2019-01-14,337
2019-01-15,304
2019-01-16,294
2019-01-17,306
2019-01-18,354
2019-01-19,379
2019-01-20,231
2019-01-21,328
2019-01-22,340
2019-01-23,329
2019-01-24,302
2019-01-25,375
2019-01-26,325
2019-01-27,290
2019-01-28,308
2019-01-29,326
2019-01-30,332
2019-01-31,345
2019-02-01,443
2019-02-02,341
2019-02-03,260
2019-02-04,311
2019-02-05,335
2019-02-06,312
2019-02-07,300
2019-02-08,324
2019-02-09,329
2019-02-10,306
2019-02-11,287
2019-02-12,319
2019-02-13,315
2019-02-14,276
2019-02-15,367
2019-02-16,301
2019-02-17,265
2019-02-18,290
2019-02-19,342
2019-02-20,395
2019-02-21,346
2019-02-22,362
2019-02-23,302
2019-02-24,291
2019-02-25,348
2019-02-26,272
2019-02-27,312
2019-02-28,336
2019-03-01,372
2019-03-02,302
2019-03-03,264
2019-03-04,294
2019-03-05,279
2019-03-06,345
2019-03-07,317
2019-03-08,370
2019-03-09,258
2019-03-10,281
2019-03-11,313
2019-03-12,349
2019-03-13,264
2019-03-14,300
2019-03-15,336
2019-03-16,328
2019-03-17,279
2019-03-18,319
2019-03-19,315
2019-03-20,297
2019-03-21,350
2019-03-22,343
2019-03-23,291
2019-03-24,270
2019-03-25,301
2019-03-26,310
2019-03-27,290
2019-03-28,333
2019-03-29,359
2019-03-30,341
2019-03-31,317
2019-04-01,346
2019-04-02,286
2019-04-03,413
2019-04-04,351
2019-04-05,343
2019-04-06,300
2019-04-07,342
2019-04-08,363
2019-04-09,304
2019-04-10,375
2019-04-11,362
2019-04-12,316
2019-04-13,319
2019-04-14,288
2019-04-15,317
2019-04-16,308
2019-04-17,342
2019-04-18,330
2019-04-19,331
2019-04-20,323
2019-04-21,271
2019-04-22,316
2019-04-23,311
2019-04-24,338
2019-04-25,261
2019-04-26,304
2019-04-27,323
2019-04-28,292
2019-04-29,277
2019-04-30,297
2019-05-01,389
2019-05-02,273
2019-05-03,347
2019-05-04,289
2019-05-05,348
2019-05-06,354
2019-05-07,331
2019-05-08,311
2019-05-09,305
2019-05-10,315
2019-05-11,297
2019-05-12,294
2019-05-13,333
2019-05-14,323
2019-05-15,312
2019-05-16,310
2019-05-17,330
2019-05-18,309
2019-05-19,324
2019-05-20,330
2019-05-21,245
2019-05-22,362
2019-05-23,314
2019-05-24,389
2019-05-25,335
2019-05-26,335
2019-05-27,268
2019-05-28,318
2019-05-29,310
2019-05-30,340
2019-05-31,356
2019-06-01,381
2019-06-02,293
2019-06-03,344
2019-06-04,331
2019-06-05,318
2019-06-06,330
2019-06-07,354
2019-06-08,321
2019-06-09,259
2019-06-10,318
2019-06-11,327
2019-06-12,362
2019-06-13,304
2019-06-14,344
2019-06-15,328
2019-06-16,285
2019-06-17,317
2019-06-18,328
2019-06-19,351
2019-06-20,317
2019-06-21,337
2019-06-22,308
2019-06-23,298
2019-06-24,334
2019-06-25,331
2019-06-26,335
2019-06-27,331
2019-06-28,359
2019-06-29,380
2019-06-30,493
2019-07-01,406
2019-07-02,386
2019-07-03,364
2019-07-04,295
2019-07-05,361
2019-07-06,301
2019-07-07,299
2019-07-08,372
2019-07-09,279
2019-07-10,337
2019-07-11,329
2019-07-12,374
2019-07-13,366
2019-07-14,307
2019-07-15,341
2019-07-16,341
2019-07-17,354
2019-07-18,329
2019-07-19,351
2019-07-20,341
2019-07-21,330
2019-07-22,391
2019-07-23,349
2019-07-24,403
2019-07-25,338
2019-07-26,422
2019-07-27,334
2019-07-28,377
2019-07-29,375
2019-07-30,337
2019-07-31,364
2019-08-01,417
2019-08-02,380
2019-08-03,326
2019-08-04,309
2019-08-05,352
2019-08-06,352
2019-08-07,435
2019-08-08,346
2019-08-09,400
2019-08-10,423
2019-08-11,334
2019-08-12,330
2019-08-13,345
2019-08-14,390
2019-08-15,383
2019-08-16,342
2019-08-17,351
2019-08-18,359
2019-08-19,375
2019-08-20,367
2019-08-21,383
2019-08-22,380
2019-08-23,379
2019-08-24,359
2019-08-25,353
2019-08-26,374
2019-08-27,312
2019-08-28,346
2019-08-29,379
2019-08-30,429
2019-08-31,359
2019-09-01,420
2019-09-02,405
2019-09-03,365
2019-09-04,309
2019-09-05,334
2019-09-06,402
2019-09-07,329
2019-09-08,303
2019-09-09,346
2019-09-10,334
2019-09-11,349
2019-09-12,318
2019-09-13,353
2019-09-14,374
2019-09-15,339
2019-09-16,336
2019-09-17,333
2019-09-18,380
2019-09-19,376
2019-09-20,381
2019-09-21,344
2019-09-22,325
2019-09-23,317
2019-09-24,350
2019-09-25,371
2019-09-26,382
2019-09-27,387
2019-09-28,398
2019-09-29,378
2019-09-30,359
2019-10-01,419
2019-10-02,422
2019-10-03,347
2019-10-04,424
2019-10-05,378
2019-10-06,389
2019-10-07,342
2019-10-08,329
2019-10-09,346
2019-10-10,353
2019-10-11,370
2019-10-12,331
2019-10-13,293
2019-10-14,318
2019-10-15,340
2019-10-16,392
2019-10-17,343
2019-10-18,404
2019-10-19,376
2019-10-20,346
2019-10-21,345
2019-10-22,342
2019-10-23,382
2019-10-24,354
2019-10-25,410
2019-10-26,390
2019-10-27,312
2019-10-28,426
2019-10-29,352
2019-10-30,385
2019-10-31,344
2019-11-01,427
2019-11-02,337
2019-11-03,286
2019-11-04,370
2019-11-05,337
2019-11-06,325
2019-11-07,323
2019-11-08,352
2019-11-09,337
2019-11-10,332
2019-11-11,341
2019-11-12,345
2019-11-13,356
2019-11-14,339
2019-11-15,392
2019-11-16,323
2019-11-17,342
2019-11-18,296
2019-11-19,348
2019-11-20,385
2019-11-21,358
2019-11-22,356
2019-11-23,307
2019-11-24,321
2019-11-25,350
2019-11-26,326
2019-11-27,319
2019-11-28,210
2019-11-29,314
2019-11-30,318
2019-12-01,335
2019-12-02,334
2019-12-03,367
2019-12-04,401
