Incident Date,Total Cases
2022-03-29,278
2022-03-30,299
2022-03-31,275
2022-04-01,358
2022-04-02,343
2022-04-03,294
2022-04-04,307
2022-04-05,313
2022-04-06,295
2022-04-07,318
2022-04-08,315
2022-04-09,318
2022-04-10,274
2022-04-11,265
2022-04-12,268
2022-04-13,303
2022-04-14,275
2022-04-15,327
2022-04-16,303
2022-04-17,253
2022-04-18,278
2022-04-19,329
2022-04-20,329
2022-04-21,281
2022-04-22,309
2022-04-23,296
2022-04-24,282
2022-04-25,262
2022-04-26,289
2022-04-27,282
2022-04-28,313
2022-04-29,302
2022-04-30,291
2022-05-01,332
2022-05-02,275
2022-05-03,296
2022-05-04,308
2022-05-05,268
2022-05-06,340
2022-05-07,271
2022-05-08,230
2022-05-09,256
2022-05-10,264
2022-05-11,295
2022-05-12,268
2022-05-13,262
2022-05-14,274
2022-05-15,284
2022-05-16,286
2022-05-17,270
2022-05-18,309
2022-05-19,312
2022-05-20,292
2022-05-21,274
2022-05-22,288
2022-05-23,277
2022-05-24,280
2022-05-25,299
2022-05-26,302
2022-05-27,327
2022-05-28,284
2022-05-29,275
2022-05-30,274
2022-05-31,243
2022-06-01,388
2022-06-02,319
2022-06-03,359
2022-06-04,300
2022-06-05,241
2022-06-06,313
2022-06-07,298
2022-06-08,305
2022-06-09,257
2022-06-10,364
2022-06-11,294
2022-06-12,293
2022-06-13,286
2022-06-14,294
2022-06-15,295
2022-06-16,280
2022-06-17,293
2022-06-18,287
2022-06-19,258
2022-06-20,374
2022-06-21,270
2022-06-22,300
2022-06-23,299
2022-06-24,336
2022-06-25,355
2022-06-26,536
2022-06-27,338
2022-06-28,301
2022-06-29,314
2022-06-30,305
2022-07-01,376
2022-07-02,323
2022-07-03,299
2022-07-04,291
2022-07-05,322
2022-07-06,355
2022-07-07,364
2022-07-08,372
2022-07-09,273
2022-07-10,317
2022-07-11,296
2022-07-12,314
2022-07-13,373
2022-07-14,350
2022-07-15,376
2022-07-16,314
2022-07-17,284
2022-07-18,299
2022-07-19,292
2022-07-20,372
2022-07-21,294
2022-07-22,311
2022-07-23,296
2022-07-24,253
2022-07-25,280
2022-07-26,325
2022-07-27,328
2022-07-28,334
2022-07-29,317
2022-07-30,294
2022-07-31,285
2022-08-01,315
2022-08-02,291
2022-08-03,319
2022-08-04,337
2022-08-05,346
2022-08-06,365
2022-08-07,331
2022-08-08,328
2022-08-09,287
2022-08-10,334
2022-08-11,310
2022-08-12,325
2022-08-13,240
2022-08-14,287
2022-08-15,316
2022-08-16,315
2022-08-17,341
2022-08-18,318
2022-08-19,326
2022-08-20,287
2022-08-21,259
2022-08-22,309
2022-08-23,298
2022-08-24,304
2022-08-25,340
2022-08-26,352
2022-08-27,330
2022-08-28,283
2022-08-29,314
2022-08-30,290
2022-08-31,340
2022-09-01,402
2022-09-02,363
2022-09-03,385
2022-09-04,345
2022-09-05,361
2022-09-06,307
2022-09-07,364
2022-09-08,326
2022-09-09,348
2022-09-10,295
2022-09-11,304
2022-09-12,330
2022-09-13,277
2022-09-14,303
2022-09-15,330
2022-09-16,372
2022-09-17,313
2022-09-18,251
2022-09-19,321
2022-09-20,329
2022-09-21,350
2022-09-22,372
2022-09-23,379
2022-09-24,336
2022-09-25,312
2022-09-26,299
2022-09-27,332
2022-09-28,342
2022-09-29,375
2022-09-30,354
2022-10-01,364
2022-10-02,325
2022-10-03,280
2022-10-04,302
2022-10-05,341
2022-10-06,312
2022-10-07,378
2022-10-08,324
2022-10-09,313
2022-10-10,371
2022-10-11,305
2022-10-12,276
2022-10-13,305
2022-10-14,336
2022-10-15,314
2022-10-16,289
2022-10-17,273
2022-10-18,297
2022-10-19,329
2022-10-20,305
2022-10-21,371
2022-10-22,294
2022-10-23,309
2022-10-24,304
2022-10-25,336
2022-10-26,290
2022-10-27,296
2022-10-28,286
2022-10-29,282
2022-10-30,238
2022-10-31,240
2022-11-01,291
2022-11-02,278
2022-11-03,282
2022-11-04,265
2022-11-05,252
2022-11-06,212
2022-11-07,258
2022-11-08,234
2022-11-09,283
2022-11-10,284
2022-11-11,262
2022-11-12,281
2022-11-13,246
2022-11-14,222
2022-11-15,175
2022-11-16,149
